2026-03-10 16:30:51,667 | INFO | get_bs_data | 启动进程 37640，处理 62268 个任务，预估成本=7578396.1
2026-03-10 16:30:53,142 | INFO | get_bs_data | 启动进程 29900，处理 62267 个任务，预估成本=7578395.6
2026-03-10 16:30:54,398 | INFO | get_bs_data | 启动进程 27228，处理 62267 个任务，预估成本=7578395.6
2026-03-10 16:30:55,646 | INFO | get_bs_data | 启动进程 25876，处理 62267 个任务，预估成本=7578395.6
2026-03-10 16:30:56,897 | INFO | get_bs_data | 启动进程 8404，处理 62268 个任务，预估成本=7578396.1
2026-03-10 16:30:58,143 | INFO | get_bs_data | 启动进程 32120，处理 62268 个任务，预估成本=7578396.1
2026-03-10 16:31:58,768 | WARNING | get_bs_data | 任务池长时间无durable进度 idle=60.4s completed=0/373605 alive_processes=6 by_freq=d:tasks=0,rows=0, w:tasks=0,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:32:59,192 | WARNING | get_bs_data | 任务池长时间无durable进度 idle=120.9s completed=0/373605 alive_processes=6 by_freq=d:tasks=0,rows=0, w:tasks=0,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:33:45,562 | INFO | get_bs_data | 任务池进度 progress=1/373605 remaining=373604 by_freq=d:tasks=0,rows=0, w:tasks=1,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:34:00,929 | INFO | get_bs_data | 任务池进度 progress=164/373605 remaining=373441 by_freq=d:tasks=0,rows=0, w:tasks=164,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:34:15,869 | INFO | get_bs_data | 任务池进度 progress=356/373605 remaining=373249 by_freq=d:tasks=0,rows=0, w:tasks=356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:34:26,695 | INFO | get_bs_data | 任务池进度 progress=556/373605 remaining=373049 by_freq=d:tasks=0,rows=0, w:tasks=556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:34:36,992 | INFO | get_bs_data | 任务池进度 progress=756/373605 remaining=372849 by_freq=d:tasks=0,rows=0, w:tasks=756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:34:46,000 | INFO | get_bs_data | 任务池进度 progress=956/373605 remaining=372649 by_freq=d:tasks=0,rows=0, w:tasks=956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:34:53,828 | INFO | get_bs_data | 任务池进度 progress=1156/373605 remaining=372449 by_freq=d:tasks=0,rows=0, w:tasks=1156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:35:08,254 | INFO | get_bs_data | 任务池进度 progress=1356/373605 remaining=372249 by_freq=d:tasks=0,rows=0, w:tasks=1356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:35:21,458 | INFO | get_bs_data | 任务池进度 progress=1556/373605 remaining=372049 by_freq=d:tasks=0,rows=0, w:tasks=1556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:35:30,413 | INFO | get_bs_data | 任务池进度 progress=1756/373605 remaining=371849 by_freq=d:tasks=0,rows=0, w:tasks=1756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:35:40,736 | INFO | get_bs_data | 任务池进度 progress=1956/373605 remaining=371649 by_freq=d:tasks=0,rows=0, w:tasks=1956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:35:49,186 | INFO | get_bs_data | 任务池进度 progress=2156/373605 remaining=371449 by_freq=d:tasks=0,rows=0, w:tasks=2156,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:35:59,697 | INFO | get_bs_data | 任务池进度 progress=2356/373605 remaining=371249 by_freq=d:tasks=0,rows=0, w:tasks=2356,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:36:13,926 | INFO | get_bs_data | 任务池进度 progress=2556/373605 remaining=371049 by_freq=d:tasks=0,rows=0, w:tasks=2556,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:36:22,034 | INFO | get_bs_data | 任务池进度 progress=2756/373605 remaining=370849 by_freq=d:tasks=0,rows=0, w:tasks=2756,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
2026-03-10 16:36:36,038 | INFO | get_bs_data | 任务池进度 progress=2956/373605 remaining=370649 by_freq=d:tasks=0,rows=0, w:tasks=2956,rows=0, 15:tasks=0,rows=0, 30:tasks=0,rows=0, 60:tasks=0,rows=0
